"time","Graph 0",
2024-08-27T06:08:06.960Z,11101000.000000,
2024-08-27T06:08:06.994Z,11101100.000000,
2024-08-27T06:08:07.031Z,11011100.000000,
2024-08-27T06:08:07.068Z,11011000.000000,
2024-08-27T06:08:07.104Z,11011100.000000,
2024-08-27T06:08:07.140Z,11101100.000000,
2024-08-27T06:08:07.174Z,11101000.000000,
2024-08-27T06:08:07.206Z,11101000.000000,
2024-08-27T06:08:07.241Z,11111111.000000,
2024-08-27T06:08:07.275Z,11111000.000000,
2024-08-27T06:08:07.309Z,11111000.000000,
2024-08-27T06:08:07.348Z,11111100.000000,
2024-08-27T06:08:07.384Z,11101110.000000,
2024-08-27T06:08:07.421Z,11101000.000000,
2024-08-27T06:08:07.457Z,11101000.000000,
2024-08-27T06:08:07.492Z,11101100.000000,
2024-08-27T06:08:07.526Z,11111100.000000,
2024-08-27T06:08:07.559Z,11111000.000000,
2024-08-27T06:08:07.594Z,11111000.000000,
2024-08-27T06:08:07.632Z,11111000.000000,
2024-08-27T06:08:07.671Z,11111110.000000,
2024-08-27T06:08:07.707Z,10001100.000000,
2024-08-27T06:08:07.743Z,10001000.000000,
2024-08-27T06:08:07.786Z,10001000.000000,
2024-08-27T06:08:07.827Z,10001000.000000,
2024-08-27T06:08:07.867Z,10001100.000000,
2024-08-27T06:08:07.906Z,11111111.000000,
2024-08-27T06:08:07.946Z,10011100.000000,
2024-08-27T06:08:07.985Z,10011000.000000,
2024-08-27T06:08:08.025Z,10011000.000000,
2024-08-27T06:08:08.065Z,10011000.000000,
2024-08-27T06:08:08.104Z,10011100.000000,
2024-08-27T06:08:08.144Z,10011100.000000,
2024-08-27T06:08:08.183Z,11111111.000000,
2024-08-27T06:08:08.224Z,11111111.000000,
2024-08-27T06:08:08.265Z,10101100.000000,
2024-08-27T06:08:08.306Z,10101100.000000,
2024-08-27T06:08:08.350Z,10101100.000000,
2024-08-27T06:08:08.392Z,10101100.000000,
2024-08-27T06:08:08.435Z,10101100.000000,
2024-08-27T06:08:08.479Z,10101100.000000,
2024-08-27T06:08:08.524Z,10101100.000000,
2024-08-27T06:08:08.568Z,10101100.000000,
2024-08-27T06:08:08.614Z,10101100.000000,
2024-08-27T06:08:08.662Z,10101100.000000,
2024-08-27T06:08:08.705Z,10101100.000000,
2024-08-27T06:08:08.748Z,10101100.000000,
2024-08-27T06:08:08.795Z,10101100.000000,
2024-08-27T06:08:08.844Z,10101100.000000,
2024-08-27T06:08:08.892Z,10101100.000000,
2024-08-27T06:08:08.941Z,10101100.000000,
2024-08-27T06:08:08.990Z,10101100.000000,
2024-08-27T06:08:09.040Z,10101100.000000,
2024-08-27T06:08:09.089Z,10101100.000000,
2024-08-27T06:08:09.137Z,10101100.000000,
2024-08-27T06:08:09.185Z,10101100.000000,
2024-08-27T06:08:09.233Z,10101100.000000,
2024-08-27T06:08:09.282Z,10101100.000000,
2024-08-27T06:08:09.333Z,10101100.000000,
